evidence_id,category,event_date,entity,metric,before,after,delta,evidence_quality,source_files,caveat
EV-01,AI_citation,2026-08-08,Bing AI total citations (site),daily citations,0 (2026-07-27~08-07 all zero where present),4.0,+4,daily_series_merged_7_exports,ai_search/normalized_bing_ai.csv <- AIPerformanceOverviewStats_2026_8_28..9_7.csv,"series contains additional zero days (8/10, 8/13, 8/14) - kept as-is"
EV-02,AI_citation,2026-08-25,Bing AI total citations (site),daily citations,38 (2026-08-24),147 (2026-08-25),+109,daily_series_merged_7_exports,ai_search/normalized_bing_ai.csv,
EV-03,AI_citation,2026-09-04,Bing AI total citations (site),daily citations,133 (2026-09-03),219 (2026-09-04),+86,daily_series_merged_7_exports,ai_search/normalized_bing_ai.csv,
EV-04,AI_citation,2026-09-02,Bing AI total citations (site),daily citations,110 (2026-09-01),151 (2026-09-02),+41,daily_series_merged_7_exports,ai_search/normalized_bing_ai.csv,
EV-05,AI_citation,2026-08-28->2026-09-07,query: djvu to pdf,AISearchQueries citations (cumulative period),63 (share 4.80%),233 (share 6.20%),+170,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AISearchQueriesReport_*.csv,report is cumulative over its own window; window length not stated in export
EV-06,AI_citation,2026-08-28->2026-09-07,query: ebook reader app,AISearchQueries citations (cumulative period),8 (share 9.88%),84 (share 12.59%),+76,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AISearchQueriesReport_*.csv,report is cumulative over its own window; window length not stated in export
EV-07,AI_citation,2026-08-28->2026-09-07,query: transfer ebooks between devices,AISearchQueries citations (cumulative period),6 (share 19.35%),52 (share 46.02%),+46,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AISearchQueriesReport_*.csv,report is cumulative over its own window; window length not stated in export
EV-08,AI_citation,2026-08-28->2026-09-07,query: free reader apps platforms discover new content resources,AISearchQueries citations (cumulative period),6 (share 22.22%),38 (share 25.85%),+32,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AISearchQueriesReport_*.csv,report is cumulative over its own window; window length not stated in export
EV-09,AI_citation,2026-08-28->2026-09-07,page: https://www.bookconv.com/blog/best-ebook-reader-apps,AIPageStats citations (cumulative period),47,519,+472,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,cumulative window not stated in export
EV-10,AI_citation,2026-08-28->2026-09-07,page: https://www.bookconv.com/blog/sync-reading-across-devices,AIPageStats citations (cumulative period),114,304,+190,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,cumulative window not stated in export
EV-11,AI_citation,2026-08-28->2026-09-07,page: https://www.bookconv.com/guide/djvu-to-pdf,AIPageStats citations (cumulative period),50,200,+150,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,cumulative window not stated in export
EV-12,AI_citation,2026-08-28->2026-09-07,page: https://www.bookconv.com/guide/mobi-to-epub-keep-formatting,AIPageStats citations (cumulative period),6,115,+109,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,cumulative window not stated in export
EV-13,AI_citation,2026-08-28->2026-09-07,page: https://www.bookconv.com/blog/mobi-to-kobo,AIPageStats citations (cumulative period),5,65,+60,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,cumulative window not stated in export
EV-14,indexing,2026-09-04,url: https://www.bookconv.com/terms,Bing discoveryDate,not_discovered (9/4 status check),"discovered 2026-09-04, crawled 2026-09-04",,api_status_check,bing/normalized_bing_url_index_state.csv <- bing-url-status-*.csv; submitted set: www.bookconv.com_SubmittedUrls_2026_9_3.csv,causality not claimed; 2 of 16 tracked submitted pages showed discovery
EV-15,indexing,2026-09-06,url: https://www.bookconv.com/convert/epub-to-png,Bing discoveryDate,not_discovered (9/4 status check),"discovered 2026-09-06, crawled 2026-09-06",,api_status_check,bing/normalized_bing_url_index_state.csv <- bing-url-status-*.csv; submitted set: www.bookconv.com_SubmittedUrls_2026_9_3.csv,causality not claimed; 2 of 16 tracked submitted pages showed discovery
EV-16,indexing,2026-09-03,url: https://www.bookconv.com/blog/common-ebook-format-problems,Bing discoveryDate,not_discovered (9/4 status check),"discovered 2026-09-03, crawled 2026-09-03",,api_status_check,bing/normalized_bing_url_index_state.csv <- bing-url-status-*.csv; submitted set: www.bookconv.com_SubmittedUrls_2026_9_3.csv,causality not claimed; 2 of 16 tracked submitted pages showed discovery
EV-17,indexing,2026-08-09,page: https://www.bookconv.com/blog/can-kindle-read-azw3,publish->Bing discovery lag,published 2026-08-08,discovered 2026-08-09 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-18,indexing,2026-08-09,page: https://www.bookconv.com/blog/epub-vs-mobi,publish->Bing discovery lag,published 2026-08-09,discovered 2026-08-09 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-19,indexing,2026-08-15,page: https://www.bookconv.com/blog/check-converted-file-quality,publish->Bing discovery lag,published 2026-08-15,discovered 2026-08-15 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-20,indexing,2026-08-15,page: https://www.bookconv.com/blog/conversion-error-guide,publish->Bing discovery lag,published 2026-08-15,discovered 2026-08-15 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-21,indexing,2026-08-15,page: https://www.bookconv.com/blog/large-file-conversion-guide,publish->Bing discovery lag,published 2026-08-15,discovered 2026-08-15 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-22,indexing,2026-08-15,page: https://www.bookconv.com/blog/sync-reading-across-devices,publish->Bing discovery lag,published 2026-08-15,discovered 2026-08-15 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-23,indexing,2026-08-25,page: https://www.bookconv.com/blog/azw3-epub-mobi-kindle-compatibility,publish->Bing discovery lag,published 2026-08-24,discovered 2026-08-25 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-24,indexing,2026-08-25,page: https://www.bookconv.com/blog/ebook-conversion-tools,publish->Bing discovery lag,published 2026-08-24,discovered 2026-08-25 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-25,indexing,2026-08-25,page: https://www.bookconv.com/blog/epub-converter,publish->Bing discovery lag,published 2026-08-24,discovered 2026-08-25 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-26,indexing,2026-08-25,page: https://www.bookconv.com/blog/epub-to-docx,publish->Bing discovery lag,published 2026-08-25,discovered 2026-08-25 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-27,indexing,2026-08-25,page: https://www.bookconv.com/blog/epub-to-text,publish->Bing discovery lag,published 2026-08-25,discovered 2026-08-25 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-28,indexing,2026-08-25,page: https://www.bookconv.com/blog/epub-to-various-other,publish->Bing discovery lag,published 2026-08-25,discovered 2026-08-25 (lag 0 day(s)),0 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-29,indexing,2026-08-27,page: https://www.bookconv.com/blog/epub-to-word-docx,publish->Bing discovery lag,published 2026-08-26,discovered 2026-08-27 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-30,indexing,2026-08-27,page: https://www.bookconv.com/blog/kindle-epub-azw3-mobi,publish->Bing discovery lag,published 2026-08-26,discovered 2026-08-27 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
EV-31,indexing,2026-08-27,page: https://www.bookconv.com/blog/legacy-lit-djvu-fb2-converter,publish->Bing discovery lag,published 2026-08-26,discovered 2026-08-27 (lag 1 day(s)),1 day(s),two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,
