rank,problem,action,result,evidence_id,classification,line_of_business,evidence_quality,source_files,date,before,after,delta,caveat
1,New site has no AI Search visibility,Created and published ebook-conversion-oriented content; monitored Bing AI performance exports weekly,Site Bing AI citations grew from 0 to 4 on 2026-08-08 (first non-zero day in the daily series),EV-01,A,GEO — AI Search Visibility,daily_series_merged_7_exports,ai_search/normalized_bing_ai.csv <- AIPerformanceOverviewStats_2026_8_28..9_7.csv,2026-08-08,0 (2026-07-27~08-07 all zero where present),4.0,+4,"series contains additional zero days (8/10, 8/13, 8/14) - kept as-is"
2,Bing AI citations need continued growth after first appearance,Continued content publication; targeted long-tail conversion queries; tracked AI export weekly,"+109 citations on 2026-08-25 (38 → 147, largest single-day jump in the 7-export merged series); peak reached 219 on 2026-09-04",EV-02,A,GEO — AI Search Visibility,daily_series_merged_7_exports,ai_search/normalized_bing_ai.csv,2026-08-25,38 (2026-08-24),147 (2026-08-25),+109,
3,Citation share by query needed to identify high-value intent clusters,Exported AISearchQueriesReport across 6 snapshots (Aug 28–Sep 7) and tracked per-query share,query 'transfer ebooks between devices' grew citation share from 19.35% (6 citations) to 46.02% (52 citations) — near-doubling of relative AI visibility for a core user-intent cluster,EV-07,B,GEO — Query Intent → Citation Share,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AISearchQueriesReport_*.csv,2026-08-28->2026-09-07,6 (share 19.35%),52 (share 46.02%),+46,report is cumulative over its own window; window length not stated in export
4,A single content page needs measurable AI visibility growth,Published /blog/best-ebook-reader-apps targeting high-volume reader-query intent; tracked via AIPageStatsReport weekly exports,AI citations grew from 47 to 519 across the same snapshot period (+472) — the highest page-level increase in the dataset,EV-09,B,GEO — Page-level AI Visibility,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,2026-08-28->2026-09-07,47,519,+472,cumulative window not stated in export
5,Another page in a related cluster also showed strong growth,Published /blog/sync-reading-across-devices on 2026-08-15; discovered by Bing on the same day; tracked via AIPageStatsReport,AI citations grew from 114 to 304 across the snapshot period (+190); publish-to-discovery lag 0 days,EV-10,B,GEO — Page-level AI Visibility + Indexing,snapshot_pair_7_exports,ai_search/normalized_bing_ai.csv <- AIPageStatsReport_*.csv,2026-08-28->2026-09-07,114,304,+190,cumulative window not stated in export
6,No systematic way to connect user intent to content output to AI visibility,"Built User Intent System (geo-intent-system): 267 questions, 20 clusters, 131 active monitors, 18 briefs, 129 recorded citations (cited / brand_only / not_found three-state)",Full closed-loop record from intent discovery → brief → publication → monitored AI result; 267 structured questions and 131 weekly monitors documented with evidence traceability,SYSTEM-1,A,Automation — Intent System,system_snapshot,"user_intent/table_questions.csv, normalized_monitors.csv, normalized_citations.csv",2026-08-15,N/A,267 questions / 20 clusters / 131 monitors / 18 briefs / 129 citations,,
7,New site needs organic search queries to appear in GSC over time,Published blog and convert pages; submitted sitemap via IndexNow; monitored GSC API daily query×date snapshots,query 'mobi to epub' appeared first on 2026-07-30; accumulated 72 impressions across 21 sampled days with peak 11 on 2026-08-13,EV-37,B,SEO — GSC Query Appearance,daily_series_2_api_snapshots,google/normalized_google_search.csv <- _gsc_query_daily_2026-09-03/04.json,2026-07-30,not present before 2026-07-30,total 72 impressions over 21 sampled days; peak 11 on 2026-08-13,,GSC API sampling + only 2 pull snapshots; days without rows omitted
8,Bing visibility needs broadening beyond a few keywords,Continued content creation; tracked Bing KeywordReport exports periodically,"Unique queries recorded in Bing KeywordReport grew from 119 (2026-08-30 snapshot) to 233 (2026-09-07 snapshot), +114 covering queries",EV-41,B,SEO — Bing Keyword Coverage,snapshot_pair_3_exports,bing/normalized_bing_search.csv <- KeywordReport_2026_8_30/9_3/9_7.csv,2026-08-30->2026-09-07,119 (2026-08-30),233 (2026-09-07),+114,cumulative window not stated in export
9,Fast indexing is critical for new content to be discoverable by both search engines and AI crawlers,"Published multi-page batch on 2026-08-24/25 (epub-to-docx, epub-to-text, etc.); used IndexNow for proactive URL submission",17 pages showed publish→Bing discovery lag ≤ 1 day; earliest example: /blog/epub-vs-mobi published and discovered on the same day (2026-08-09),EV-18,B,SEO + GEO — Indexing Velocity,two_record_join,content/normalized_content.csv + bing/normalized_bing_url_index_state.csv,2026-08-09,published 2026-08-09,discovered 2026-08-09 (lag 0 day(s)),0 day(s),
10,Site needed Google Generative AI Features visibility as a signal of emerging AI Search presence,Launched content targeting reader/conversion intent; monitored GSC 'Generative AI Features' export when available,Single point on 2026-09-05 showed /es/blog/azw3-vs-mobi with 10 impressions in the GSC GenAI export — first observable proof that the site appears in Google's AI answer layer,EV-42,C,GEO — Google GenAI First Signal,single_point,google/normalized_google_search.csv <- Performance-on-Search-Generative-AI-Features-2026-09-05/网页.csv,2026-09-05,no prior GenAI export exists,10 impressions,,single time point; no trend provable
